Attribute Name,Tag,Basic Prof.
Reason for Omission Description,"(300C,0113)",X
Reason for Requested Procedure Code Sequence,"(0040,100A)",X
Reason for Study,"(0032,1030)",X
Reason for Superseding,"(3010,005C)",Z
Reason for the Imaging Service Request,"(0040,2001)",X
Reason for the Requested Procedure,"(0040,1002)",X
Reason for Visit,"(0032,1066)",X
Reason for Visit Code Sequence,"(0032,1067)",X
Referenced Conceptual Volume UID,"(3010,000B)",U
Referenced Digital Signature Sequence,"(0400,0402)",X
Referenced Dose Reference UID,"(300A,0083)",U
Referenced Dosimetric Objective UID,"(3010,006F)",U
Referenced Fiducials UID,"(3010,0031)",U
Referenced Frame of Reference UID,"(3006,0024)",U
Referenced General Purpose Scheduled Procedure Step Transaction UID,"(0040,4023)",U
Referenced Image Sequence,"(0008,1140)",X/Z/U*
Referenced Observation UID (Trial),"(0040,A172)",U
Referenced Patient Alias Sequence,"(0038,0004)",X
Referenced Patient Photo Sequence,"(0010,1100)",X
Referenced Patient Sequence,"(0008,1120)",X
Referenced Performed Procedure Step Sequence,"(0008,1111)",X/Z/D
Referenced SOP Instance MAC Sequence,"(0400,0403)",X
Referenced SOP Instance UID,"(0008,1155)",U
Referenced SOP Instance UID in File,"(0004,1511)",U
Referenced Study Sequence,"(0008,1110)",X/Z
Referring Physician's Address,"(0008,0092)",X
Referring Physician's Name,"(0008,0090)",Z
Referring Physician's Telephone Numbers,"(0008,0094)",X
Referring Physician Identification Sequence,"(0008,0096)",X
Region of Residence,"(0010,2152)",X
Related Frame of Reference UID,"(3006,00C2)",U
Request Attributes Sequence,"(0040,0275)",X
Requested Contrast Agent,"(0032,1070)",X
Requested Procedure Comments,"(0040,1400)",X
Requested Procedure Description,"(0032,1060)",X/Z
Requested Procedure ID,"(0040,1001)",X
Requested Procedure Location,"(0040,1005)",X
Requested SOP Instance UID,"(0000,1001)",U
Requesting Physician,"(0032,1032)",X
Requesting Service,"(0032,1033)",X
Respiratory Motion Compensation Technique Description,"(0018,9185)",X
Responsible Organization,"(0010,2299)",X
Responsible Person,"(0010,2297)",X
Results Comments,"(4008,4000)",X
Results Distribution List Sequence,"(4008,0118)",X
Results ID Issuer,"(4008,0042)",X
Reviewer Name,"(300E,0008)",X/Z
RT Accessory Device Slot ID,"(300A,0615)",Z
RT Accessory Holder Slot ID,"(300A,0611)",Z
RT Physician Intent Narrative,"(3010,005A)",Z
RT Plan Date,"(300A,0006)",X/D
RT Plan Description,"(300A,0004)",X
RT Plan Label,"(300A,0002)",D
RT Plan Name,"(300A,0003)",X
RT Plan Time,"(300A,0007)",X/D
RT Prescription Label,"(3010,0054)",D
RT Tolerance Set Label,"(300A,062A)",D
RT Treatment Approach Label,"(3010,0056)",X/D
RT Treatment Phase UID,"(3010,003B)",U
Scheduled Human Performers Sequence,"(0040,4034)",X
Scheduled Patient Institution Residence,"(0038,001E)",X
Scheduled Performing Physician's Name,"(0040,0006)",X
Scheduled Performing Physician Identification Sequence,"(0040,000B)",X
Scheduled Procedure Step Description,"(0040,0007)",X
Scheduled Procedure Step End Date,"(0040,0004)",X
Scheduled Procedure Step End Time,"(0040,0005)",X
Scheduled Procedure Step Expiration DateTime,"(0040,4008)",X
Scheduled Procedure Step Location,"(0040,0011)",X
Scheduled Procedure Step Modification DateTime,"(0040,4010)",X
Scheduled Procedure Step Start Date,"(0040,0002)",X
Scheduled Procedure Step Start DateTime,"(0040,4005)",X
Scheduled Procedure Step Start Time,"(0040,0003)",X
Scheduled Station AE Title,"(0040,0001)",X
Scheduled Station Geographic Location Code Sequence,"(0040,4027)",X
Scheduled Station Name,"(0040,0010)",X
Scheduled Station Name Code Sequence,"(0040,4025)",X
Scheduled Study Location,"(0032,1020)",X
Scheduled Study Location AE Title,"(0032,1021)",X
Series Date,"(0008,0021)",X/D
Series Instance UID,"(0020,000E)",U
Series Time,"(0008,0031)",X/D
Service Episode Description,"(0038,0062)",X
Service Episode ID,"(0038,0060)",X
Setup Technique Description,"(300A,01B2)",X
Shielding Device Description,"(300A,01A6)",X
Slide Identifier,"(0040,06FA)",X
Smoking Status,"(0010,21A0)",X
SOP Instance UID,"(0008,0018)",U
Source Conceptual Volume UID,"(3010,0015)",U
Source Identifier,"(0034,0005)",D
Source Image Sequence,"(0008,2112)",X/Z/U*
Source Manufacturer,"(300A,0216)",X
Source Serial Number,"(3008,0105)",X/Z
Source Serial Number,"(3008,0105)",X
Special Needs,"(0038,0050)",X
Specimen Accession Number,"(0040,050A)",X
Specimen Detailed Description,"(0040,0602)",X
Specimen Identifier,"(0040,0551)",D
Specimen Preparation Sequence,"(0040,0610)",Z
Specimen Short Description,"(0040,0600)",X
Specimen UID,"(0040,0554)",U
Start Acquisition DateTime,"(0018,9516)",X/D
Station Name,"(0008,1010)",X/Z/D
Storage Media File-set UID,"(0088,0140)",U
Study Comments,"(0032,4000)",X
Study Date,"(0008,0020)",Z
Study Description,"(0008,1030)",X
Study ID,"(0020,0010)",Z
Study ID Issuer,"(0032,0012)",X
Study Instance UID,"(0020,000D)",U
Study Time,"(0008,0030)",Z
Synchronization Frame of Reference UID,"(0020,0200)",U
Target UID,"(0018,2042)",U
Telephone Number (Trial),"(0040,A354)",X
Template Extension Creator UID,"(0040,DB0D)",U
Template Extension Organization UID,"(0040,DB0C)",U
Text Comments,"(4000,4000)",X
Text String,"(2030,0020)",X
Timezone Offset From UTC,"(0008,0201)",X
Topic Author,"(0088,0910)",X
Topic Keywords,"(0088,0912)",X
Topic Subject,"(0088,0906)",X
Topic Title,"(0088,0904)",X
Tracking UID,"(0062,0021)",U
Transaction UID,"(0008,1195)",U
Treatment Date,"(3008,0250)",X/D
Treatment Machine Name,"(300A,00B2)",X
Treatment Position Group Label,"(300A,0608)",D
Treatment Position Group UID,"(300A,0609)",U
Treatment Site,"(3010,0077)",D
Treatment Technique Notes,"(3010,007A)",Z
Treatment Time,"(3008,0251)",X/D
UDI Sequence,"(0018,100A)",X
UID,"(0040,A124)",U
Unique Device Identifier,"(0018,1009)",X
User Content Label,"(3010,0033)",D
User Content Long Label,"(3010,0034)",D
Verbal Source (Trial),"(0040,A352)",X
Verbal Source Identifier Code Sequence (Trial),"(0040,A358)",X
Verifying Observer Identification Code Sequence,"(0040,A088)",Z
Verifying Observer Name,"(0040,A075)",D
Verifying Observer Sequence,"(0040,A073)",D
Verifying Organization,"(0040,A027)",D
Visit Comments,"(0038,4000)",X
Date Of Last Calibration, "(0018,1200)", X
